payer_id,first_name,last_name,date_of_birth,age,address,city,province,employment_status,annual_income_cad,marital_status
1,Sandra,Diaz,2004-11-11,22,"1166 King St, Lethbridge, Alberta M5U 7P4",Lethbridge,Alberta,Part-time,17883,Single
2,Frances,Morris,2001-06-07,25,"3831 Queen St, Vancouver, British Columbia M6B 4U7",Vancouver,British Columbia,Part-time,22386,Divorced
3,Betty,Reyes,1982-09-08,44,"6850 Queen St, Montreal, Quebec J8T 5B7",Montreal,Quebec,Unemployed,0,Common-law
4,Kenneth,Walker,1992-12-01,34,"5739 King St, Montreal, Quebec K2P 6J4",Montreal,Quebec,Full-time,70269,Divorced
5,William,Johnson,2007-02-20,19,"6040 Jackson St, Hamilton, Ontario I9Y 2M6",Hamilton,Ontario,Unemployed,0,Common-law
6,George,Murphy,2004-09-11,22,"3735 Smith St, Laval, Quebec X7J 8P1",Laval,Quebec,Unemployed,0,Married
7,Sarah,Davis,2002-04-08,24,"808 First Ave, Lethbridge, Alberta R2I 8Y9",Lethbridge,Alberta,Unemployed,0,Common-law
8,Sharon,Hernandez,1997-12-03,29,"5357 Clinton St, Red Deer, Alberta T7F 8U8",Red Deer,Alberta,Unemployed,0,Divorced
9,Karen,Morgan,2006-02-19,20,"7501 Jackson St, Hamilton, Ontario D8M 8B0",Hamilton,Ontario,Full-time,51360,Single
10,Ashley,Stewart,1986-10-04,40,"9601 Jefferson St, Surrey, British Columbia L6R 0S1",Surrey,British Columbia,Part-time,22790,Common-law
11,Frances,Thompson,1988-11-23,38,"3172 Smith St, Edmonton, Alberta R4T 2W0",Edmonton,Alberta,Full-time,71540,Married
12,Samuel,Collins,1992-07-22,34,"2344 Jefferson St, Vancouver, British Columbia S8W 7N9",Vancouver,British Columbia,Full-time,74190,Widowed
13,Ruth,White,2001-01-23,25,"345 Franklin St, Red Deer, Alberta X8Y 0M4",Red Deer,Alberta,Full-time,68009,Common-law
14,Jacob,Roberts,2005-10-08,21,"3074 Oak St, Winnipeg, Manitoba F5R 4K5",Winnipeg,Manitoba,Full-time,68372,Common-law
15,Edward,King,2002-07-25,24,"6202 Madison Ave, Laval, Quebec Y4N 7R1",Laval,Quebec,Unemployed,0,Common-law
16,Daniel,Parker,2004-09-23,22,"2542 Church St, Quebec City, Quebec X2Q 0T2",Quebec City,Quebec,Full-time,69261,Divorced
17,Sandra,Ortiz,2003-03-29,23,"9432 Clinton St, Vancouver, British Columbia P6T 4Y2",Vancouver,British Columbia,Part-time,23826,Divorced
18,Linda,Nelson,1996-01-29,30,"8120 School St, Hamilton, Ontario S2M 0F2",Hamilton,Ontario,Part-time,22923,Widowed
19,Paul,Moore,1995-06-30,31,"9738 Franklin St, Surrey, British Columbia G7S 7W5",Surrey,British Columbia,Unemployed,0,Married
20,Benjamin,Sanchez,2001-06-29,25,"7793 Franklin St, Quebec City, Quebec O6H 8S4",Quebec City,Quebec,Unemployed,0,Divorced
21,Richard,King,1995-08-22,31,"5895 Elm St, Surrey, British Columbia Y9F 4O6",Surrey,British Columbia,Unemployed,0,Married
